name;fileName;description;;
eSanteCom_initstock_24072024;eSanteCom_initstock_24072024.csv;;;
eSanteCom_recepstock_24072024;eSanteCom_recepstock_24072024.csv;;;
eSanteCom_perempstock_24072024;eSanteCom_perempstock_24072024.csv;;;
eSanteCom_pertstock_24072024;eSanteCom_pertstock_24072024.csv;;;
eSanteCom_diststock_24072024;eSanteCom_diststock_24072024.csv;;;
eSanteCom_initstock_12112024;eSanteCom_initstock_12112024.csv;;;
eSanteCom_recepstock_12112024;eSanteCom_recepstock_12112024.csv;;;
eSanteCom_perempstock_12112024;eSanteCom_perempstock_12112024.csv;;;
eSanteCom_pertstock_12112024;eSanteCom_pertstock_12112024.csv;;;
eSanteCom_ajuststock_12112024;eSanteCom_ajuststock_12112024.csv;;;
