ordreExecution;description;typePeriode;source_name;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_name;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
1;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE_INFO;old_sante_Evènement 6- Un ou plusieurs décès causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux;Ay9BN51xcti;;;;;;;;;;;Formulaire de notification des événements inhabituels;cG1pLS0e0KX;;;ONEHEALTH;old_Sante_Evènement 6_un ou plusieurs décès causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux;bZXKmZWY36z;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE_INFO;old_sante_Evènement 4- Décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays;JMrGhIs2AvS;;;;;;;;;;;Formulaire de notification des événements inhabituels;cG1pLS0e0KX;;;ONEHEALTH;old_Sante_Evènement 4 _Deux ou plusieurs personnes deviennent malades après avoir pris part aux funérailles;KsMtVJffttV;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE_INFO;old_sante_Evènement 7- Deux personnes ou plus atteintes de fièvre et de toux sévère dans la même école, la même famille ou le même milieu dans la même semaine (absentéisme ou hospitalisation);jSsGls1tNks;;;;;;;;;;;Formulaire de notification des événements inhabituels;cG1pLS0e0KX;;;ONEHEALTH;old_Sante_Evènement 7_Deux personnes ou plus atteintes de fièvre et de toux sévère dans la même école, la même famille ou le même milieu dans la même semaine (absentéisme ou hospitalisation);hPHGtnsxWdM;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE_INFO;old_sante_Evènement 8- Deux personnes ou plus issues du même milieu, présentant les mêmes signes nécessitant qu’elles soient alitées ou hospitalisées;yE1rvkTAXgG;;;;;;;;;;;Formulaire de notification des événements inhabituels;cG1pLS0e0KX;;;ONEHEALTH;old_Sante_Evènement 8_Deux personnes ou plus issues du même milieu, présentant les mêmes signes nécessitant qu’elles soient alitées ou hospitalisées;rlJKLcEABBA;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE_INFO;old_sante_Evènement 2- Deux décès inexpliqués ou plus dans la même semaine parmi un groupe de personnes;O0M7t2kFQEi;;;;;;;;;;;Formulaire de notification des événements inhabituels;cG1pLS0e0KX;;;ONEHEALTH;old_Sante_Evènement 2_Deux décès inexpliqués ou plus dans la même semaine parmi un groupe de personnes;zN7XpDOmxHQ;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE_INFO;old_sante_Evènement 1- Décès inexpliqué d’un agent de la santé, des  ressources animales de l’environnement, d’un ASBC/VVV/Ecogardes/Pisteurs ou d’un tradipraticien de santé;RG3gv4oEt0U;;;;;;;;;;;Formulaire de notification des événements inhabituels;cG1pLS0e0KX;;;ONEHEALTH;old_Sante_Evènement 1_Décès inexpliqué d’un agent de la santé, des  ressources animales de l’environnement, d’un ASBC/VVV/Ecogardes/Pisteurs ou d’un tradipraticien de santé;qrl8F1bzMyy;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE_INFO;old_sante_Evènement 3- Deux ou plusieurs personnes deviennent malades après avoir pris part aux funérailles;KKWuQvILbur;;;;;;;;;;;Formulaire de notification des événements inhabituels;cG1pLS0e0KX;;;ONEHEALTH;old_Sante_Evènement 7_Nombre de décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays;XmzTcerpcRw;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE_INFO;old_sante_Evènement 9- Toute condition médicale atypique par sa fréquence et/ou sa présentation clinique, y compris les malformations congénitales;bAGllT5JwSK;;;;;;;;;;;Formulaire de notification des événements inhabituels;cG1pLS0e0KX;;;ONEHEALTH;old_Sante_Evènement 9_Toute condition médicale atypique par sa fréquence et/ou sa présentation clinique, y compris les malformations congénitales;hXxPkYHg1rS;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE_INFO;old_sante_Evènement 10- Tout évènement sanitaire créant une inquiétude ou une psychose dans la communauté;hxsDTbhffAz;;;;;;;;;;;Formulaire de notification des événements inhabituels;cG1pLS0e0KX;;;ONEHEALTH;old_Sante_Evènement 10_Tout évènement sanitaire créant une inquiétude ou une psychose dans la communauté;gF0gGPlzpsk;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;MS_SURVEILLANCE_INFO;old_sante_Evènement 5- La mort de plusieurs volailles et/ou autres animaux dans la même village/Aire faunique et dans le même semaine ou maladie  de plusieurs animaux de retour de transhumance;rmbeRH2x3M9;;;;;;;;;;;Formulaire de notification des événements inhabituels;cG1pLS0e0KX;;;ONEHEALTH;old_Sante_Evènement 5_Mort de plusieurs volailles et/ou autres animaux dans la même village/Aire faunique et dans le même semaine ou maladie  de plusieurs animaux de retour de transhumance;sL5T897kdXb;;;;;;;;;;;;
